Company Name,Scope1+2Total,Rank,Exclusions,AssureType,Revenues,Scope1+2-Revenues,RankRevenues,SasbIndustry,RankIndustry,EpaScope1Emit,EpaScope1Rank,EpaScope1/Revenues,EpaRankRevenues
IQVIA Holdings Inc.,"49,355.00",75.00,no,type unknown,"12,014.00",4.11,62.00,Biotechnology & Pharmaceuticals,2.00,0.00,1,0.00,1.00
Iron Mountain Incorporated,"187,413.00",150.00,yes,limited,"4,160.58",45.04,220.00,Software & IT Services,24.00,0.00,1,0.00,1.00
"J.B. Hunt Transport Services, Inc.","1,764,625.00",248.00,no,limited,"9,973.90",176.92,260.00,Road Transportation,2.00,0.00,1,0.00,1.00
"Jack Henry & Associates, Inc.","40,085.00",62.00,yes,no assurances,"1,718.48",23.33,163.00,Software & IT Services,12.00,0.00,1,0.00,1.00
Johnson & Johnson,"747,669.00",217.00,no,limited,"84,214.00",8.88,99.00,Biotechnology & Pharmaceuticals,11.00,0.00,1,0.00,1.00
Johnson Controls International plc,"779,167.00",218.00,no,limited,"22,232.00",35.05,205.00,Electrical & Electronic Equipment,11.00,0.00,1,0.00,1.00
JPMorgan Chase & Co.,"73,757.00",91.00,no,limited,"118,484.00",0.62,14.00,Investment Banking & Brokerage,1.00,0.00,1,0.00,1.00
"Juniper Networks, Inc.","52,726.00",78.00,yes,no assurances,"4,521.50",11.66,120.00,Hardware,4.00,0.00,1,0.00,1.00
Kansas City Southern,"1,230,000.00",237.00,no,limited,"2,606.90",471.82,282.00,Rail Transportation,1.00,0.00,1,0.00,1.00
Kellogg Company,"904,000.00",224.00,yes,limited,"13,942.00",64.84,238.00,Processed Foods,7.00,"166,564.00",330,11.95,333.00
KeyCorp,"48,703.00",74.00,no,no assurances,"6,402.00",7.61,90.00,Commercial Banks,6.00,0.00,1,0.00,1.00
"Keysight Technologies, Inc.","87,206.00",103.00,no,no assurances,"4,632.00",18.83,147.00,Electrical & Electronic Equipment,3.00,0.00,1,0.00,1.00
Kimco Realty Corporation,"31,792.00",54.00,yes,limited,"1,050.46",30.26,187.00,Real Estate,4.00,0.00,1,0.00,1.00
"Kinder Morgan, Inc.","18,700,000.00",308.00,yes,limited,"13,805.00","1,354.58",302.00,Oil & Gas – Midstream,2.00,"11,473,790.00",378,831.13,381.00
KLA Corporation,,328.00,no report,no 2020 GHG data,"6,452.86",,328.00,Semiconductors,12.00,0.00,1,0.00,1.00
"L Brands, Inc.",,328.00,no report,no 2020 GHG data,"13,217.00",,328.00,"Apparel, Accessories & Footwear",5.00,0.00,1,0.00,1.00
"L3Harris Technologies, Inc.","317,855.00",177.00,no,no assurances,"18,135.00",17.53,144.00,Aerospace & Defense,3.00,0.00,1,0.00,1.00
Laboratory Corporation of America Holdings,"332,078.00",181.00,no,no assurances,"15,316.20",21.68,156.00,Health Care Delivery,3.00,"36,946.00",306,2.41,307.00
Lam Research Corporation,"113,483.00",124.00,no,no assurances,"13,272.84",8.55,96.00,Semiconductors,4.00,0.00,1,0.00,1.00
"Lamb Weston Holdings, Inc.",,328.00,no report,no 2020 GHG data,"3,510.30",,328.00,Processed Foods,10.00,"478,238.00",340,136.24,354.00
"Leggett & Platt, Incorporated",,328.00,no report,no 2020 GHG data,"4,385.60",,328.00,Building Products & Furnishings,4.00,"82,485.00",317,18.81,338.00
"Leidos Holdings, Inc.","48,550.00",73.00,no,unknown type,"12,723.00",3.82,61.00,Software & IT Services,16.00,0.00,1,0.00,1.00
Lennar Corporation,,328.00,no report,no 2020 GHG data,"24,451.86",,328.00,Home Builders,4.00,0.00,1,0.00,1.00
Lincoln National Corporation,"8,492.00",17.00,no,moderate,"17,548.00",0.48,10.00,Insurance,2.00,0.00,1,0.00,1.00
Linde plc,"37,216,000.00",321.00,no,limited,"27,747.00","1,341.26",301.00,Chemicals,16.00,"7,983,736.00",371,287.73,364.00
"Live Nation Entertainment, Inc.",,328.00,no report,no 2020 GHG data,786.09,,328.00,Leisure Facilities,1.00,0.00,1,0.00,1.00
LKQ Corporation,"202,503.00",152.00,yes,no assurances,"11,798.68",17.16,143.00,Multiline and Specialty Retailers & Distributors,3.00,0.00,1,0.00,1.00
Lockheed Martin Corporation,"790,535.00",220.00,no,limited,"66,005.00",11.98,121.00,Aerospace & Defense,7.00,"114,741.00",323,1.74,301.00
Loews Corporation,,328.00,no report,no 2020 GHG data,"13,072.00",,328.00,Insurance,13.00,"2,660,914.00",361,203.56,357.00
"Lumen Technologies, Inc.","2,003,874.00",254.00,no,limited,"20,513.00",97.69,247.00,Telecommunication Services,3.00,0.00,1,0.00,1.00
LyondellBasell Industries N.V.,"24,100,000.00",311.00,no,reasonable,"29,341.00",821.38,296.00,Chemicals,14.00,"9,110,668.00",373,310.51,368.00
M&T Bank Corporation,"39,563.00",61.00,no,no assurances,"5,410.59",7.31,88.00,Commercial Banks,4.00,0.00,1,0.00,1.00
MarketAxess Holdings Inc.,,328.00,no report,no 2020 GHG data,715.61,,328.00,Professional & Commercial Services,8.00,0.00,1,0.00,1.00
"Marriott International, Inc.","5,166,032.00",279.00,no,limited,"1,771.00","2,917.01",316.00,Hotels & Lodging,1.00,0.00,1,0.00,1.00
"Marsh & McLennan Companies, Inc.","101,072.00",113.00,no,no assurances,"17,656.00",5.72,72.00,Insurance,12.00,0.00,1,0.00,1.00
"Martin Marietta Materials, Inc.","5,176,000.00",280.00,no,no assurances,"4,463.00","1,159.76",299.00,Construction Materials,2.00,"3,939,578.00",366,882.72,382.00
Masco Corporation,"180,000.00",146.00,no,no assurances,"7,577.00",23.76,164.00,Building Products & Furnishings,1.00,0.00,1,0.00,1.00
Mastercard Incorporated,"3,489.00",6.00,no,limited,"15,447.00",0.23,5.00,Software & IT Services,1.00,0.00,1,0.00,1.00
"Maxim Integrated Products, Inc.",,328.00,no report,no 2020 GHG data,"2,458.04",,328.00,Semiconductors,12.00,"33,634.00",303,13.68,334.00
"McCormick & Company, Incorporated","119,280.00",126.00,no,no assurances,"5,870.80",20.32,150.00,Processed Foods,1.00,0.00,1,0.00,1.00
McDonald's Corporation,"528,793.00",199.00,no,no assurances,"19,618.00",26.95,177.00,Restaurants,2.00,0.00,1,0.00,1.00
McKesson Corporation,"255,341.00",165.00,no,no assurances,"238,228.00",1.07,23.00,Health Care Distributors,2.00,0.00,1,0.00,1.00
Medtronic plc,"270,969.00",167.00,no,no assurances,"30,117.00",9.00,100.00,Medical Equipment & Supplies,11.00,0.00,1,0.00,1.00
"Merck & Co., Inc.","993,800.00",231.00,no,limited,"48,017.00",20.70,152.00,Biotechnology & Pharmaceuticals,12.00,"368,933.00",337,7.68,326.00
"MetLife, Inc.","85,601.00",101.00,no,no assurances,"65,094.00",1.32,30.00,Insurance,11.00,0.00,1,0.00,1.00
Mettler-Toledo International Inc.,"26,445.00",48.00,no,limited,"3,240.41",8.16,94.00,Medical Equipment & Supplies,3.00,0.00,1,0.00,1.00
MGM Resorts International,"199,686.00",151.00,no,limited,"4,352.19",45.88,221.00,Casinos & Gaming,1.00,"138,029.00",326,31.71,343.00
Microchip Technology Incorporated,"653,748.00",210.00,no,no assurances,"5,438.40",120.21,253.00,Semiconductors,9.00,"413,034.00",339,75.95,350.00
"Micron Technology, Inc.","7,141,289.00",286.00,no,limited,"23,503.00",303.85,274.00,Semiconductors,11.00,"649,698.00",344,27.64,342.00
Microsoft Corporation,"287,639.00",170.00,no,limited,"159,969.00",1.80,39.00,Software & IT Services,25.00,0.00,1,0.00,1.00
"Mid-America Apartment Communities, Inc.","109,001.00",121.00,no,no assurances,"1,684.89",64.69,237.00,Real Estate,10.00,0.00,1,0.00,1.00
"Mohawk Industries, Inc.","2,626,945.00",260.00,no,no assurances,"9,935.46",264.40,269.00,Building Products & Furnishings,3.00,"337,741.00",335,33.99,344.00
"Mondelez International, Inc.","1,527,318.00",245.00,no,reasonable,"27,112.00",56.33,232.00,Processed Foods,9.00,0.00,1,0.00,1.00
"Monolithic Power Systems, Inc.",,328.00,no report,no 2020 GHG data,933.13,,328.00,Semiconductors,12.00,0.00,1,0.00,1.00
Monster Beverage Corporation,"8,600.00",18.00,no,no assurances,"4,780.36",1.80,41.00,Non-Alcoholic Beverages,1.00,0.00,1,0.00,1.00
Moody's Corporation,"1,667.00",5.00,no,limited,"5,681.00",0.29,6.00,Professional & Commercial Services,1.00,0.00,1,0.00,1.00
Morgan Stanley,"181,400.00",147.00,no,limited,"54,643.00",3.32,54.00,Investment Banking & Brokerage,2.00,0.00,1,0.00,1.00
"Motorola Solutions, Inc.","79,246.00",94.00,yes,limited,"7,532.00",10.52,111.00,Hardware,6.00,0.00,1,0.00,1.00
MSCI Inc.,"3,624.00",7.00,no,limited,"1,757.03",2.06,43.00,Professional & Commercial Services,2.00,0.00,1,0.00,1.00
"NetApp, Inc.","63,505.00",87.00,no,no assurances,"5,744.00",11.06,116.00,Hardware,5.00,0.00,1,0.00,1.00
"Netflix, Inc.","31,024.00",52.00,no,limited,"26,391.65",1.18,27.00,Internet Media & Services,2.00,0.00,1,0.00,1.00
Newell Brands Inc.,"372,119.00",185.00,no,no assurances,"9,787.00",38.02,211.00,Household & Personal Products,4.00,0.00,1,0.00,1.00
Newmont Corporation,"3,455,480.00",265.00,no,moderate,"11,788.00",293.14,273.00,Metals & Mining,1.00,"1,114,027.00",350,94.51,352.00
"NIKE, Inc.",,328.00,no report,no 2020 GHG data,"44,538.00",,328.00,"Apparel, Accessories & Footwear",5.00,0.00,1,0.00,1.00
NiSource Inc.,"7,303,463.00",287.00,no,no assurances,"4,621.80","1,580.22",309.00,Gas Utilities & Distributors,2.00,"9,973,179.00",375,"2,157.86",386.00
Northern Trust Corporation,"25,761.00",46.00,no,limited,"6,062.50",4.25,66.00,Asset Management & Custody Activities,5.00,0.00,1,0.00,1.00
Northrop Grumman Corporation,"414,904.00",191.00,yes,limited,"37,336.00",11.11,117.00,Aerospace & Defense,4.00,"112,718.00",321,3.02,309.00
NortonLifeLock Inc.,"19,408.00",34.00,no,no assurances,"2,551.00",7.61,91.00,Software & IT Services,7.00,0.00,1,0.00,1.00
NOV Inc.,,328.00,no report,no 2020 GHG data,"5,456.00",,328.00,Oil & Gas – Services,2.00,0.00,1,0.00,1.00
"NRG Energy, Inc.","27,726,002.00",315.00,no,limited,"15,165.00","1,828.29",310.00,Electric Utilities & Power Generators,10.00,"33,406,387.00",393,"2,202.86",387.00
Nucor Corporation,"10,100,000.00",291.00,no,no assurances,"21,532.46",469.06,281.00,Iron & Steel Producers,1.00,"5,554,873.00",367,257.98,363.00
NVIDIA Corporation,"68,753.00",89.00,no,limited,"19,256.00",3.57,58.00,Semiconductors,3.00,0.00,1,0.00,1.00
"NVR, Inc.",,328.00,no report,no 2020 GHG data,"8,017.52",,328.00,Home Builders,4.00,0.00,1,0.00,1.00
"Old Dominion Freight Line, Inc.","1,140,641.00",233.00,no,no assurances,"4,154.28",274.57,270.00,Road Transportation,1.00,0.00,1,0.00,1.00
Omnicom Group Inc.,"44,961.00",68.00,no,no assurances,"13,191.10",3.41,55.00,Advertising & Marketing,1.00,0.00,1,0.00,1.00
Oracle Corporation,"429,577.00",192.00,no,no assurances,"40,479.00",10.61,113.00,Software & IT Services,27.00,0.00,1,0.00,1.00
Organon & Co.,,328.00,no report,no 2020 GHG data,"7,822.00",,328.00,Biotechnology & Pharmaceuticals,14.00,0.00,1,0.00,1.00
Otis Worldwide Corporation,"209,000.00",155.00,no,no assurances,"13,198.00",15.84,140.00,Electrical & Electronic Equipment,8.00,0.00,1,0.00,1.00
Packaging Corporation of America,"3,110,000.00",263.00,no,no assurances,"6,756.70",460.28,278.00,Containers & Packaging,2.00,"1,583,107.00",356,234.30,361.00
"Paycom Software, Inc.",,328.00,no report,no 2020 GHG data,871.26,,328.00,Software & IT Services,29.00,0.00,1,0.00,1.00
"PayPal Holdings, Inc.","25,000.00",45.00,yes,limited,"22,869.00",1.09,25.00,Software & IT Services,10.00,0.00,1,0.00,1.00
"Penn National Gaming, Inc.",,328.00,no report,no 2020 GHG data,"3,737.50",,328.00,Casinos & Gaming,2.00,0.00,1,0.00,1.00
Pentair plc,"98,398.00",106.00,no,no assurances,"3,173.70",31.00,189.00,Industrial Machinery & Goods,4.00,0.00,1,0.00,1.00
"People's United Financial, Inc.",,328.00,no report,no 2020 GHG data,"1,912.60",,328.00,Commercial Banks,14.00,0.00,1,0.00,1.00
"PepsiCo, Inc.","4,410,104.00",275.00,no,limited,"71,311.00",61.84,235.00,Non-Alcoholic Beverages,2.00,"355,556.00",336,4.99,317.00
Pfizer Inc.,"1,350,000.00",240.00,no,limited,"46,407.00",29.09,181.00,Biotechnology & Pharmaceuticals,13.00,"252,419.00",334,5.44,318.00
Philip Morris International Inc.,"412,999.00",190.00,no,reasonable,"29,126.00",14.18,134.00,Tobacco,2.00,0.00,1,0.00,1.00
Phillips 66,"30,100,000.00",316.00,no,no assurances,"64,935.00",463.54,279.00,Oil & Gas – Refining & Marketing,2.00,"28,933,657.00",392,445.58,376.00
Pioneer Natural Resources Company,"1,739,532.00",247.00,no,no assurances,"8,080.00",215.29,264.00,Oil & Gas – Exploration & Production,1.00,"2,383,190.00",360,294.95,365.00
"PPG Industries, Inc.","789,236.00",219.00,no,limited,"14,338.00",55.05,231.00,Chemicals,5.00,"144,905.00",327,10.11,330.00
PPL Corporation,"25,096,952.00",312.00,no,no assurances,"7,665.00","3,274.23",321.00,Electric Utilities & Power Generators,8.00,"28,493,455.00",391,"3,717.35",395.00
"Principal Financial Group, Inc.","26,259.00",47.00,yes,limited,"13,398.90",1.96,42.00,Insurance,6.00,0.00,1,0.00,1.00
"Prologis, Inc.","3,841.00",8.00,no,limited,"4,884.50",0.79,18.00,Real Estate,2.00,0.00,1,0.00,1.00
"Prudential Financial, Inc.","59,014.00",82.00,no,limited,"60,576.00",0.97,22.00,Insurance,9.00,0.00,1,0.00,1.00
PTC Inc.,,328.00,no report,no 2020 GHG data,"1,633.54",,328.00,Software & IT Services,29.00,0.00,1,0.00,1.00
Public Storage,"98,457.00",107.00,no,no assurances,"3,036.07",32.43,195.00,Real Estate,9.00,0.00,1,0.00,1.00
"PulteGroup, Inc.",,328.00,no report,no 2020 GHG data,"11,470.89",,328.00,Home Builders,4.00,0.00,1,0.00,1.00
QUALCOMM Incorporated,"315,526.00",176.00,no,no assurances,"29,409.00",10.73,114.00,Semiconductors,8.00,"62,144.00",313,2.11,305.00
"Quanta Services, Inc.",,328.00,no report,no 2020 GHG data,"11,142.16",,328.00,Engineering & Construction Services,2.00,0.00,1,0.00,1.00
Quest Diagnostics Incorporated,"183,858.00",148.00,no,no assurances,"10,335.00",17.79,146.00,Health Care Delivery,1.00,0.00,1,0.00,1.00
Ralph Lauren Corporation,"106,628.00",117.00,no,no assurances,"4,400.80",24.23,166.00,"Apparel, Accessories & Footwear",2.00,0.00,1,0.00,1.00
"Raymond James Financial, Inc.",,328.00,no report,no 2020 GHG data,"8,461.00",,328.00,Investment Banking & Brokerage,3.00,0.00,1,0.00,1.00
Raytheon Technologies Corporation,"1,557,479.00",246.00,no,limited,"60,478.00",25.75,172.00,Aerospace & Defense,10.00,0.00,1,0.00,1.00
Realty Income Corporation,131.00,1.00,no,no assurances,"1,680.09",0.08,1.00,Real Estate,1.00,0.00,1,0.00,1.00
"Regeneron Pharmaceuticals, Inc.","81,100.00",97.00,no,limited,"9,010.90",9.00,101.00,Biotechnology & Pharmaceuticals,4.00,0.00,1,0.00,1.00
Regions Financial Corporation,"76,837.00",92.00,no,limited,"5,667.00",13.56,132.00,Commercial Banks,9.00,0.00,1,0.00,1.00
"Republic Services, Inc.","13,453,373.00",296.00,no,limited,"10,196.10","1,319.46",300.00,Waste Management,1.00,"10,363,032.00",377,"1,016.37",383.00
ResMed Inc.,"23,028.00",41.00,no,no assurances,"3,091.07",7.45,89.00,Medical Equipment & Supplies,2.00,0.00,1,0.00,1.00
Robert Half International Inc.,"17,552.00",30.00,no,no assurances,"5,000.69",3.51,57.00,Professional & Commercial Services,4.00,0.00,1,0.00,1.00
"Rockwell Automation, Inc.","108,100.00",119.00,no,no assurances,"6,305.40",17.14,142.00,Electrical & Electronic Equipment,5.00,0.00,1,0.00,1.00
"Roper Technologies, Inc.",,328.00,no report,no 2020 GHG data,"5,705.00",,328.00,Software & IT Services,29.00,0.00,1,0.00,1.00
"Ross Stores, Inc.","226,714.00",159.00,no,type unknown,"15,204.97",14.91,137.00,Multiline and Specialty Retailers & Distributors,4.00,0.00,1,0.00,1.00
Royal Caribbean Group,"2,502,144.00",258.00,no,limited,218.07,"11,474.04",326.00,Cruise Lines,1.00,0.00,1,0.00,1.00
S&P Global Inc.,"18,780.00",33.00,no,limited,"7,672.00",2.45,46.00,Professional & Commercial Services,5.00,0.00,1,0.00,1.00
"salesforce.com, inc.","85,000.00",100.00,no,limited,"22,350.00",3.80,60.00,Software & IT Services,17.00,0.00,1,0.00,1.00
SBA Communications Corporation,"24,300.00",42.00,no,no assurances,"2,114.81",11.49,119.00,Engineering & Construction Services,1.00,0.00,1,0.00,1.00
Seagate Technology Holdings plc,"1,199,080.00",236.00,no,limited,"10,185.00",117.73,252.00,Hardware,10.00,0.00,1,0.00,1.00
Sealed Air Corporation,"465,009.00",195.00,no,no assurances,"4,996.40",93.07,245.00,Containers & Packaging,1.00,0.00,1,0.00,1.00
Sempra Energy,"6,851,000.00",285.00,yes,reasonable,"11,600.00",590.60,287.00,Gas Utilities & Distributors,1.00,"3,561,041.00",364,306.99,367.00
"ServiceNow, Inc.","20,410.00",35.00,no,no assurances,"4,833.48",4.22,64.00,Software & IT Services,8.00,0.00,1,0.00,1.00
"Simon Property Group, Inc.","184,871.00",149.00,yes,limited,"4,491.73",41.16,216.00,Real Estate,13.00,0.00,1,0.00,1.00
"Skyworks Solutions, Inc.","128,198.00",128.00,no,no assurances,"4,375.30",29.30,184.00,Semiconductors,5.00,"31,360.00",302,7.17,325.00
Snap-on Incorporated,,328.00,no report,no 2020 GHG data,"4,117.30",,328.00,Industrial Machinery & Goods,9.00,0.00,1,0.00,1.00
Southwest Airlines Co.,"12,630,318.00",294.00,no,moderate,"6,866.00","1,839.55",311.00,Airlines,2.00,0.00,1,0.00,1.00
Starbucks Corporation,"627,000.00",206.00,no,limited,"23,842.70",26.30,173.00,Restaurants,3.00,0.00,1,0.00,1.00
STERIS plc,,328.00,no report,no 2020 GHG data,"3,107.52",,328.00,Medical Equipment & Supplies,16.00,0.00,1,0.00,1.00
Stryker Corporation,"143,526.00",133.00,no,reasonable,"14,716.00",9.75,107.00,Medical Equipment & Supplies,10.00,0.00,1,0.00,1.00
SVB Financial Group,"7,340.00",14.00,no,no assurances,"4,549.39",1.61,34.00,Commercial Banks,1.00,0.00,1,0.00,1.00
Synchrony Financial,"17,385.00",29.00,no,no assurances,"6,715.00",2.59,48.00,Consumer Finance,2.00,0.00,1,0.00,1.00
Sysco Corporation,"1,088,973.00",232.00,yes,limited,"44,027.51",24.73,169.00,Food Retailers & Distributors,1.00,0.00,1,0.00,1.00
"T. Rowe Price Group, Inc.","21,457.00",37.00,no,limited,"6,570.90",3.27,53.00,Asset Management & Custody Activities,4.00,0.00,1,0.00,1.00
"Tapestry, Inc.","59,367.00",83.00,no,no assurances,"4,845.70",12.25,122.00,"Apparel, Accessories & Footwear",1.00,0.00,1,0.00,1.00
Target Corporation,"1,883,429.00",252.00,yes,limited,"98,143.00",19.19,148.00,Multiline and Specialty Retailers & Distributors,9.00,0.00,1,0.00,1.00
TE Connectivity Ltd.,"558,285.00",202.00,yes,limited,"13,069.00",42.72,218.00,Electrical & Electronic Equipment,10.00,0.00,1,0.00,1.00
Teledyne Technologies Incorporated,"105,739.00",116.00,no,no assurances,"3,107.30",34.03,200.00,Aerospace & Defense,2.00,0.00,1,0.00,1.00
"Teradyne, Inc.","31,653.00",53.00,no,no assurances,"3,198.72",9.90,108.00,Semiconductors,2.00,0.00,1,0.00,1.00
"Tesla, Inc.",,328.00,no report,no 2020 GHG data,"35,940.00",,328.00,Automobiles,3.00,"23,613.00",298,0.66,297.00
Textron Inc.,"511,242.00",198.00,no,no assurances,"11,753.00",43.50,219.00,Aerospace & Defense,5.00,"66,577.00",314,5.66,320.00
The AES Corporation,"43,478,267.00",322.00,no,limited,"9,957.00","4,366.60",323.00,Electric Utilities & Power Generators,14.00,"19,586,036.00",383,"1,967.06",385.00
The Allstate Corporation,"80,123.00",95.00,no,limited,"47,376.00",1.69,36.00,Insurance,10.00,0.00,1,0.00,1.00
The Bank of New York Mellon Corporation,"8,359.00",16.00,no,limited,"15,537.00",0.54,12.00,Asset Management & Custody Activities,2.00,0.00,1,0.00,1.00
The Boeing Company,"1,185,000.00",235.00,yes,limited,"56,467.00",20.99,153.00,Aerospace & Defense,9.00,"172,670.00",331,3.06,311.00
The Charles Schwab Corporation,,328.00,no report,no 2020 GHG data,"13,789.00",,328.00,Investment Banking & Brokerage,3.00,0.00,1,0.00,1.00
The Clorox Company,"259,543.00",166.00,no,limited,"7,522.00",34.50,203.00,Household & Personal Products,3.00,0.00,1,0.00,1.00
"The Cooper Companies, Inc.","107,900.00",118.00,no,no assurances,"2,659.80",40.57,213.00,Medical Equipment & Supplies,8.00,0.00,1,0.00,1.00
The Estée Lauder Companies Inc.,"81,100.00",96.00,yes,limited,"14,709.00",5.51,71.00,Household & Personal Products,1.00,0.00,1,0.00,1.00
"The Gap, Inc.","240,724.00",161.00,no,limited,"15,684.00",15.35,139.00,"Apparel, Accessories & Footwear",4.00,0.00,1,0.00,1.00
The Hershey Company,"290,840.00",172.00,yes,no assurances,"8,408.35",34.59,204.00,Processed Foods,2.00,0.00,1,0.00,1.00
"The Home Depot, Inc.","1,821,000.00",249.00,no,no assurances,"141,350.00",12.88,127.00,Multiline and Specialty Retailers & Distributors,8.00,0.00,1,0.00,1.00
"The Interpublic Group of Companies, Inc.","55,531.00",80.00,no,no assurances,"8,120.10",6.84,84.00,Advertising & Marketing,2.00,0.00,1,0.00,1.00
The J. M. Smucker Company,"328,442.00",180.00,no,limited,"8,002.70",41.04,215.00,Processed Foods,3.00,"23,912.00",299,2.99,308.00
The Kraft Heinz Company,"1,297,152.00",238.00,yes,limited,"26,422.00",49.09,224.00,Processed Foods,8.00,"46,698.00",308,1.77,302.00
The Mosaic Company,"4,920,000.00",277.00,yes,limited,"9,180.70",535.91,285.00,Chemicals,10.00,"1,255,351.00",354,136.74,355.00
"The PNC Financial Services Group, Inc.","170,574.00",141.00,no,no assurances,"15,075.00",11.32,118.00,Commercial Banks,12.00,0.00,1,0.00,1.00
The Procter & Gamble Company,"2,625,000.00",259.00,yes,limited,"74,870.00",35.06,206.00,Household & Personal Products,6.00,"1,752,006.00",357,23.40,341.00
The Progressive Corporation,,328.00,no report,no 2020 GHG data,"44,759.60",,328.00,Insurance,13.00,0.00,1,0.00,1.00
The Sherwin-Williams Company,"627,265.00",207.00,no,no assurances,"18,871.00",33.24,197.00,Chemicals,4.00,0.00,1,0.00,1.00
The Southern Company,"75,279,857.00",326.00,no,no assurances,"21,267.00","3,539.75",322.00,Electric Utilities & Power Generators,17.00,"87,486,577.00",400,"4,113.72",396.00
"The TJX Companies, Inc.","542,645.00",200.00,no,limited,"37,814.74",14.35,136.00,Multiline and Specialty Retailers & Distributors,6.00,0.00,1,0.00,1.00
"The Travelers Companies, Inc.","35,408.00",55.00,yes,limited,"32,386.00",1.09,26.00,Insurance,7.00,0.00,1,0.00,1.00
The Walt Disney Company,"1,342,649.00",239.00,no,limited,"58,348.00",23.01,161.00,Media & Entertainment,1.00,"107,929.00",320,1.85,303.00
The Western Union Company,,328.00,no report,no 2020 GHG data,"4,855.00",,328.00,Software & IT Services,29.00,0.00,1,0.00,1.00
"The Williams Companies, Inc.","11,930,000.00",292.00,yes,limited,"8,418.00","1,417.20",304.00,Oil & Gas – Midstream,1.00,"10,074,614.00",376,"1,196.79",384.00
Thermo Fisher Scientific Inc.,"510,411.00",197.00,no,moderate,"35,894.00",14.22,135.00,Medical Equipment & Supplies,13.00,0.00,1,0.00,1.00
"T-Mobile US, Inc.","1,911,386.00",253.00,yes,limited,"77,043.00",24.81,170.00,Telecommunication Services,2.00,0.00,1,0.00,1.00
Tractor Supply Company,"249,031.00",164.00,no,no assurances,"11,453.50",21.74,157.00,Multiline and Specialty Retailers & Distributors,5.00,0.00,1,0.00,1.00
TransDigm Group Incorporated,"99,641.00",110.00,yes,no assurances,"4,496.00",22.16,159.00,Aerospace & Defense,1.00,0.00,1,0.00,1.00
Trimble Inc.,"9,700.00",20.00,yes,no assurances,"3,241.90",2.99,50.00,Electrical & Electronic Equipment,1.00,0.00,1,0.00,1.00
Truist Financial Corporation,"203,576.00",154.00,no,moderate,"21,086.00",9.65,105.00,Commercial Banks,13.00,0.00,1,0.00,1.00
"Tyler Technologies, Inc.","7,626.00",15.00,no,no assurances,"1,134.92",6.72,81.00,Software & IT Services,3.00,0.00,1,0.00,1.00
"Tyson Foods, Inc.","10,005,000.00",290.00,yes,no assurances,"43,242.00",231.37,265.00,"Meat, Poultry & Dairy",2.00,"1,804,812.00",358,41.74,346.00
"UDR, Inc.","42,453.00",63.00,yes,limited,"1,241.52",34.19,202.00,Real Estate,5.00,0.00,1,0.00,1.00
"Ulta Beauty, Inc.","114,426.00",125.00,no,no assurances,"6,917.26",16.54,141.00,Multiline and Specialty Retailers & Distributors,2.00,0.00,1,0.00,1.00
"Under Armour, Inc.",,328.00,no report,no 2020 GHG data,"4,801.62",,328.00,"Apparel, Accessories & Footwear",5.00,0.00,1,0.00,1.00
Union Pacific Corporation,"9,280,792.00",289.00,no,unknown type,"19,305.00",480.75,283.00,Rail Transportation,3.00,0.00,1,0.00,1.00
"United Airlines Holdings, Inc.","15,660,450.00",299.00,no,limited,"10,597.00","1,477.82",305.00,Airlines,4.00,0.00,1,0.00,1.00
"United Parcel Service, Inc.","16,500,000.00",305.00,no,reasonable,"89,501.00",184.36,261.00,Air Freight & Logistics,3.00,0.00,1,0.00,1.00
"United Rentals, Inc.","402,519.00",189.00,no,no assurances,"8,462.00",47.57,222.00,Industrial Machinery & Goods,6.00,0.00,1,0.00,1.00
UnitedHealth Group Incorporated,"173,228.00",143.00,yes,moderate,"262,916.00",0.66,16.00,Managed Care,4.00,0.00,1,0.00,1.00
"Universal Health Services, Inc.",,328.00,no report,no 2020 GHG data,"11,742.22",,328.00,Health Care Delivery,4.00,0.00,1,0.00,1.00
Unum Group,"22,618.00",40.00,yes,limited,"13,363.00",1.69,37.00,Insurance,4.00,0.00,1,0.00,1.00
Valero Energy Corporation,"27,500,000.00",314.00,no,no assurances,"59,067.00",465.57,280.00,Oil & Gas – Refining & Marketing,1.00,"23,474,041.00",387,397.41,373.00
"Ventas, Inc.","371,234.00",184.00,no,limited,"3,713.67",99.96,248.00,Real Estate,17.00,0.00,1,0.00,1.00
"VeriSign, Inc.",,328.00,no report,no 2020 GHG data,"1,276.15",,328.00,Software & IT Services,29.00,0.00,1,0.00,1.00
Verizon Communications Inc.,"4,090,491.00",272.00,no,limited,"129,549.00",31.57,192.00,Telecommunication Services,4.00,0.00,1,0.00,1.00
ViacomCBS Inc.,"166,430.00",139.00,no,no assurances,"26,198.00",6.35,76.00,Media & Entertainment,1.00,0.00,1,0.00,1.00
Viatris Inc.,"659,000.00",211.00,yes,no assurances,"13,757.10",47.90,223.00,Biotechnology & Pharmaceuticals,9.00,0.00,1,0.00,1.00
Visa Inc.,"13,923.00",26.00,no,limited,"21,354.00",0.65,15.00,Software & IT Services,4.00,0.00,1,0.00,1.00
Vornado Realty Trust,"163,187.00",137.00,no,limited,"1,557.60",104.77,249.00,Real Estate,12.00,0.00,1,0.00,1.00
